,City_Name,Country_Code,Date,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_Speed
1,fairbanks,us,1619894315,64.8378,-147.7164,32.9,51,90,4.61
2,victoria,sc,1619894328,-4.6167,55.45,82.4,78,40,2.3
3,tomatlan,mx,1619894328,19.9333,-105.25,92.08,29,0,12.12
4,presidencia roque saenz pena,ar,1619894328,-26.7852,-60.4388,84.99,50,0,3.0
5,la asuncion,ve,1619894329,11.0333,-63.8628,95.0,49,99,18.41
6,arraial do cabo,br,1619894329,-22.9661,-42.0278,73.4,73,75,6.91
7,albany,au,1619894329,-35.0169,117.8917,50.0,100,58,2.3
8,stokmarknes,no,1619894330,68.5646,14.9108,33.3,78,100,8.01
9,rumoi,jp,1619894330,43.9344,141.6428,38.46,88,100,7.49
10,qaqortoq,gl,1619894330,60.7167,-46.0333,51.8,20,12,35.68
11,bluff,nz,1619894331,-46.6,168.3333,48.0,86,15,1.01
12,hermanus,za,1619894331,-34.4187,19.2345,59.0,76,98,1.99
13,bengkulu,id,1619894332,-3.8004,102.2655,75.51,89,85,4.52
14,cape town,za,1619894153,-33.9258,18.4232,59.77,82,0,8.05
15,olafsvik,is,1619894332,64.8945,-23.7142,37.54,64,36,20.87
16,cidreira,br,1619894332,-30.1811,-50.2056,70.57,62,0,11.86
17,ushuaia,ar,1619894179,-54.8,-68.3,44.6,65,20,4.61
18,antalaha,mg,1619894333,-14.9003,50.2788,75.09,91,9,4.83
19,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
20,bluff,nz,1619894331,-46.6,168.3333,48.0,86,15,1.01
21,ati,td,1619894334,13.2154,18.3353,94.33,13,18,7.96
22,bluff,nz,1619894331,-46.6,168.3333,48.0,86,15,1.01
23,santa cruz,cr,1619894335,10.2605,-85.5851,87.8,48,0,5.75
24,vaini,to,1619894335,-21.2,-175.2,75.2,83,40,13.8
25,georgetown,sh,1619894335,-7.9333,-14.4167,78.82,69,100,13.73
26,cape town,za,1619894153,-33.9258,18.4232,59.77,82,0,8.05
27,fortuna,us,1619894336,40.5982,-124.1573,52.36,100,75,12.66
28,severo-kurilsk,ru,1619894336,50.6789,156.125,35.74,97,100,22.84
29,bathurst,ca,1619894337,47.6181,-65.6511,50.0,57,75,17.27
30,hobart,au,1619894337,-42.8794,147.3294,52.68,76,100,10.36
31,pevek,ru,1619894337,69.7008,170.3133,9.0,94,100,8.48
32,lima,pe,1619894082,-12.0432,-77.0282,70.63,78,75,6.91
33,hondo,us,1619894338,29.3475,-99.1414,68.63,97,94,8.01
34,punta arenas,cl,1619894338,-53.15,-70.9167,46.2,66,20,8.05
35,hervey bay,au,1619894257,-25.2986,152.8535,67.8,94,58,8.05
36,albany,au,1619894329,-35.0169,117.8917,50.0,100,58,2.3
37,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
38,roald,no,1619894339,62.5833,6.1333,41.79,61,0,17.27
39,lorengau,pg,1619894340,-2.0226,147.2712,79.5,82,96,1.48
40,pevek,ru,1619894337,69.7008,170.3133,9.0,94,100,8.48
41,kapaa,us,1619894340,22.0752,-159.319,76.8,78,20,11.5
42,qaanaaq,gl,1619894340,77.484,-69.3632,34.93,71,76,3.47
43,sao filipe,cv,1619894341,14.8961,-24.4956,72.79,74,1,11.88
44,sabancuy,mx,1619894342,18.9667,-91.1833,92.73,49,81,10.18
45,port blair,in,1619894342,11.6667,92.75,82.98,75,100,4.41
46,provideniya,ru,1619894342,64.3833,-173.3,23.4,60,25,5.48
47,mildmay,ca,1619894343,44.0501,-81.1164,53.24,43,100,12.66
48,obo,cf,1619894344,5.3998,26.4869,69.28,92,100,2.62
49,alaca,tr,1619894344,40.1683,34.8425,60.57,58,100,2.91
50,ushuaia,ar,1619894179,-54.8,-68.3,44.6,65,20,4.61
51,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
52,dongsheng,cn,1619894345,39.8161,109.9776,48.51,20,100,7.81
53,unity,ca,1619894345,52.4501,-109.1682,58.14,36,100,12.08
54,yellowknife,ca,1619894134,62.456,-114.3525,26.1,63,20,10.36
55,huarmey,pe,1619894346,-10.0681,-78.1522,73.29,73,43,11.86
56,ribeira grande,pt,1619894346,38.5167,-28.7,62.6,94,75,19.57
57,butaritari,ki,1619894347,3.0707,172.7902,82.63,76,99,11.81
58,kampong chhnang,kh,1619894347,12.1667,104.55,84.11,64,66,4.18
59,poum,nc,1619894348,-20.2333,164.0167,75.52,75,100,8.79
60,upernavik,gl,1619894348,72.7868,-56.1549,33.12,76,15,4.14
61,narsaq,gl,1619894348,60.9167,-46.05,51.8,20,6,35.68
62,port alfred,za,1619894349,-33.5906,26.891,61.95,68,0,3.38
63,igrim,ru,1619894349,63.1906,64.4162,43.27,93,100,10.27
64,tomatlan,mx,1619894328,19.9333,-105.25,92.08,29,0,12.12
65,riyadh,sa,1619894350,24.6877,46.7219,88.27,12,0,6.91
66,povenets,ru,1619894350,62.8487,34.8262,32.04,50,64,11.03
67,ambilobe,mg,1619894350,-13.2,49.05,74.41,93,63,3.27
68,albany,au,1619894329,-35.0169,117.8917,50.0,100,58,2.3
69,fortuna,us,1619894336,40.5982,-124.1573,52.36,100,75,12.66
70,najran,sa,1619894351,17.4924,44.1277,82.4,17,40,6.91
71,ponta do sol,cv,1619894351,17.1994,-25.0919,77.0,61,20,24.16
72,cape town,za,1619894153,-33.9258,18.4232,59.77,82,0,8.05
73,yellowknife,ca,1619894134,62.456,-114.3525,26.1,63,20,10.36
74,manta,ec,1619894352,-0.95,-80.7333,86.0,62,75,2.3
75,vaini,to,1619894335,-21.2,-175.2,75.2,83,40,13.8
76,hilo,us,1619894352,19.7297,-155.09,74.28,65,40,3.44
77,jamestown,sh,1619894353,-15.9387,-5.7168,70.11,76,22,17.81
78,carnarvon,au,1619894353,-24.8667,113.6333,68.0,73,100,9.22
79,puerto ayora,ec,1619894353,-0.7393,-90.3518,80.29,65,40,20.71
80,new norfolk,au,1619894354,-42.7826,147.0587,52.75,62,100,2.86
81,mujiayingzi,cn,1619894354,42.1167,118.7833,37.27,43,5,7.4
82,mbanza-ngungu,cd,1619894355,-5.25,14.8667,65.37,96,100,4.27
83,albany,au,1619894329,-35.0169,117.8917,50.0,100,58,2.3
84,fiche,et,1619894355,9.8,38.7333,53.17,88,100,2.17
85,shingu,jp,1619894356,33.7333,135.9833,53.51,68,18,13.56
86,kaitangata,nz,1619894356,-46.2817,169.8464,48.99,68,0,5.99
87,pevek,ru,1619894337,69.7008,170.3133,9.0,94,100,8.48
88,katsuura,jp,1619894357,35.1333,140.3,61.75,88,20,10.36
89,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
90,luanda,ao,1619894244,-8.8368,13.2343,78.8,83,75,6.91
91,purwodadi,id,1619894357,-7.0868,110.9158,75.13,92,100,3.49
92,cape town,za,1619894153,-33.9258,18.4232,59.77,82,0,8.05
93,berdigestyakh,ru,1619894358,62.0989,126.6992,33.04,97,100,3.36
94,vaini,to,1619894335,-21.2,-175.2,75.2,83,40,13.8
95,vaini,to,1619894335,-21.2,-175.2,75.2,83,40,13.8
96,ushuaia,ar,1619894179,-54.8,-68.3,44.6,65,20,4.61
97,atuona,pf,1619894359,-9.8,-139.0333,78.66,73,0,9.46
98,cape town,za,1619894153,-33.9258,18.4232,59.77,82,0,8.05
99,vaini,to,1619894335,-21.2,-175.2,75.2,83,40,13.8
100,tuktoyaktuk,ca,1619894360,69.4541,-133.0374,14.0,92,90,8.05
101,chokurdakh,ru,1619894360,70.6333,147.9167,0.81,99,95,3.83
102,bluff,nz,1619894331,-46.6,168.3333,48.0,86,15,1.01
103,ushuaia,ar,1619894179,-54.8,-68.3,44.6,65,20,4.61
104,kodiak,us,1619894361,57.79,-152.4072,39.2,81,1,4.61
105,barentu,er,1619894361,15.1139,37.5928,80.89,40,100,5.64
106,bluff,nz,1619894331,-46.6,168.3333,48.0,86,15,1.01
107,kruisfontein,za,1619894362,-34.0033,24.7314,54.0,84,0,1.01
108,punta arenas,cl,1619894338,-53.15,-70.9167,46.2,66,20,8.05
109,busselton,au,1619894362,-33.65,115.3333,55.99,96,14,3.15
110,srednekolymsk,ru,1619894363,67.45,153.6833,12.38,92,6,6.02
111,mitsamiouli,km,1619894363,-11.3847,43.2844,81.64,76,9,4.81
112,serabu,sl,1619894363,7.7958,-12.0536,82.26,73,94,7.9
113,butaritari,ki,1619894347,3.0707,172.7902,82.63,76,99,11.81
114,qaanaaq,gl,1619894340,77.484,-69.3632,34.93,71,76,3.47
115,ancud,cl,1619894364,-41.8697,-73.8203,54.07,82,75,12.66
116,nayagarh,in,1619894364,20.1333,85.1,78.6,69,0,4.27
117,ostrovnoy,ru,1619894365,68.0531,39.5131,25.93,77,100,14.61
118,araouane,ml,1619894365,18.9048,-3.5265,94.6,21,76,4.32
119,kapaa,us,1619894340,22.0752,-159.319,76.8,78,20,11.5
120,atuona,pf,1619894359,-9.8,-139.0333,78.66,73,0,9.46
121,loma bonita,mx,1619894366,18.1,-95.8833,102.42,29,95,5.46
122,westport,ie,1619894366,53.8,-9.5167,48.81,59,71,5.66
123,husavik,is,1619894367,66.0449,-17.3389,35.6,69,75,14.97
124,punta arenas,cl,1619894338,-53.15,-70.9167,46.2,66,20,8.05
125,flinders,au,1619894367,-34.5833,150.8552,57.99,89,100,1.99
126,punta arenas,cl,1619894338,-53.15,-70.9167,46.2,66,20,8.05
127,onega,ru,1619894368,63.9061,38.1404,29.28,90,100,9.53
128,vanimo,pg,1619894368,-2.6741,141.3028,77.05,88,100,3.6
129,guerrero negro,mx,1619894368,27.9769,-114.0611,75.0,50,12,12.84
130,atuona,pf,1619894359,-9.8,-139.0333,78.66,73,0,9.46
131,pisco,pe,1619894363,-13.7,-76.2167,70.48,73,0,9.22
132,upernavik,gl,1619894348,72.7868,-56.1549,33.12,76,15,4.14
133,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
134,loikaw,mm,1619894369,19.6742,97.2094,69.8,83,6,1.72
135,port-gentil,ga,1619894369,-0.7193,8.7815,84.2,79,20,6.91
136,naryan-mar,ru,1619894370,67.6713,53.087,32.72,98,100,9.66
137,castro,cl,1619894370,-42.4721,-73.7732,55.06,82,75,12.66
138,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
139,jamestown,sh,1619894353,-15.9387,-5.7168,70.11,76,22,17.81
140,san felipe,ph,1619894371,15.5014,120.9078,80.6,83,75,4.61
141,busselton,au,1619894362,-33.65,115.3333,55.99,96,14,3.15
142,albany,au,1619894329,-35.0169,117.8917,50.0,100,58,2.3
143,hilo,us,1619894352,19.7297,-155.09,74.28,65,40,3.44
144,busselton,au,1619894362,-33.65,115.3333,55.99,96,14,3.15
145,saskylakh,ru,1619894372,71.9167,114.0833,29.98,97,100,2.33
146,ilulissat,gl,1619894373,69.2167,-51.1,46.4,34,1,10.36
147,college,us,1619894373,64.8569,-147.8028,32.63,51,75,3.0
148,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
149,ust-nera,ru,1619894373,64.5667,143.2,26.83,97,99,2.17
150,ushuaia,ar,1619894179,-54.8,-68.3,44.6,65,20,4.61
151,saldanha,za,1619894374,-33.0117,17.9442,60.8,55,0,5.75
152,ust-maya,ru,1619894374,60.4167,134.5333,28.98,91,40,5.12
153,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
154,ushuaia,ar,1619894179,-54.8,-68.3,44.6,65,20,4.61
155,ribeira grande,pt,1619894346,38.5167,-28.7,62.6,94,75,19.57
156,ewa beach,us,1619894328,21.3156,-158.0072,76.96,61,40,13.8
157,aden,ye,1619894168,12.7794,45.0367,85.68,67,34,6.35
158,albany,au,1619894329,-35.0169,117.8917,50.0,100,58,2.3
159,nago,jp,1619894375,26.5881,127.9761,66.7,88,20,5.75
160,santa rosa,bo,1619894376,-14.1667,-66.8833,86.0,54,9,3.78
161,abu dhabi,ae,1619894284,24.4667,54.3667,82.4,74,0,4.61
162,yellowknife,ca,1619894134,62.456,-114.3525,26.1,63,20,10.36
163,koster,za,1619894376,-25.863,26.8976,54.68,48,44,8.55
164,new norfolk,au,1619894354,-42.7826,147.0587,52.75,62,100,2.86
165,ribeira grande,pt,1619894346,38.5167,-28.7,62.6,94,75,19.57
166,durango,us,1619894377,37.2753,-107.8801,68.34,18,1,5.75
167,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
168,tura,ru,1619894378,64.2833,100.25,32.74,93,100,2.62
169,hermanus,za,1619894331,-34.4187,19.2345,59.0,76,98,1.99
170,palmer,us,1619894359,42.1584,-72.3287,56.3,41,20,12.66
171,hasaki,jp,1619894351,35.7333,140.8333,59.67,94,20,11.5
172,aquiraz,br,1619894378,-3.9014,-38.3911,86.0,66,20,12.66
173,peace river,ca,1619894379,56.2501,-117.286,51.8,43,75,5.75
174,terekli-mekteb,ru,1619894379,44.1671,45.8698,65.08,66,100,3.98
175,okhotsk,ru,1619894379,59.3833,143.3,31.44,88,99,0.72
176,yellowknife,ca,1619894134,62.456,-114.3525,26.1,63,20,10.36
177,broome,au,1619894117,-17.9667,122.2333,73.4,94,97,3.44
178,maniitsoq,gl,1619894303,65.4167,-52.9,38.66,67,1,6.4
179,saint-philippe,re,1619894380,-21.3585,55.7679,75.13,78,0,6.91
180,kodiak,us,1619894361,57.79,-152.4072,39.2,81,1,4.61
181,pandan,ph,1619894381,14.0453,124.1694,76.82,83,66,5.61
182,hirara,jp,1619894381,24.8,125.2833,74.88,79,99,6.91
183,morant bay,jm,1619894381,17.8815,-76.4093,84.31,66,20,19.57
184,kalyazin,ru,1619894114,57.2403,37.8433,39.65,72,10,3.4
185,ushuaia,ar,1619894179,-54.8,-68.3,44.6,65,20,4.61
186,ribeira grande,pt,1619894346,38.5167,-28.7,62.6,94,75,19.57
187,skovorodino,ru,1619894382,53.9833,123.9167,34.5,84,98,3.2
188,tasiilaq,gl,1619894382,65.6145,-37.6368,26.6,93,90,3.44
189,ushuaia,ar,1619894179,-54.8,-68.3,44.6,65,20,4.61
190,wloszczowa,pl,1619894383,50.8526,19.9659,50.0,85,100,3.0
191,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
192,bluff,nz,1619894331,-46.6,168.3333,48.0,86,15,1.01
193,huancavelica,pe,1619894383,-12.7667,-74.9833,50.99,47,98,10.29
194,maebaru,jp,1619894384,33.55,130.2,55.02,47,20,18.41
195,kapaa,us,1619894340,22.0752,-159.319,76.8,78,20,11.5
196,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
197,corinth,us,1619894384,33.154,-97.0647,71.13,78,75,3.44
198,cape town,za,1619894153,-33.9258,18.4232,59.77,82,0,8.05
199,mayo,ca,1619894385,63.5927,-135.8998,42.8,61,75,9.22
200,mar del plata,ar,1619894385,-38.0023,-57.5575,71.82,49,0,14.97
201,ushuaia,ar,1619894179,-54.8,-68.3,44.6,65,20,4.61
202,mitu,co,1619894386,1.1983,-70.1733,79.05,80,77,4.63
203,iqaluit,ca,1619894386,63.7506,-68.5145,39.09,70,90,18.41
204,severnyy,ru,1619894387,50.677,36.5532,59.0,47,0,6.71
205,starkville,us,1619894306,33.4504,-88.8184,79.29,33,1,8.05
206,dalbandin,pk,1619894158,28.8947,64.4101,75.99,39,100,0.76
207,yar-sale,ru,1619894387,66.8333,70.8333,21.6,93,100,12.39
208,puerto ayora,ec,1619894353,-0.7393,-90.3518,80.29,65,40,20.71
209,pisco,pe,1619894363,-13.7,-76.2167,70.48,73,0,9.22
210,east london,za,1619894388,-33.0153,27.9116,57.2,88,0,6.91
211,severo-kurilsk,ru,1619894336,50.6789,156.125,35.74,97,100,22.84
212,tulle,fr,1619894388,45.3333,1.8333,46.11,81,75,3.44
213,varhaug,no,1619894389,58.6147,5.6457,45.32,70,20,5.75
214,busselton,au,1619894362,-33.65,115.3333,55.99,96,14,3.15
215,bluff,nz,1619894331,-46.6,168.3333,48.0,86,15,1.01
216,dikson,ru,1619894389,73.5069,80.5464,23.45,92,100,5.21
217,nikolskoye,ru,1619894389,59.7035,30.7861,39.22,56,20,4.47
218,aklavik,ca,1619894390,68.2191,-135.0107,23.0,80,90,10.36
219,mar del plata,ar,1619894385,-38.0023,-57.5575,71.82,49,0,14.97
220,atuona,pf,1619894359,-9.8,-139.0333,78.66,73,0,9.46
221,guaruja,br,1619894390,-23.9931,-46.2564,78.06,65,0,8.05
222,kaitangata,nz,1619894356,-46.2817,169.8464,48.99,68,0,5.99
223,guarapari,br,1619894391,-20.6667,-40.4975,77.34,65,40,11.5
224,iquique,cl,1619894391,-20.2208,-70.1431,69.8,52,0,19.57
225,bluff,nz,1619894331,-46.6,168.3333,48.0,86,15,1.01
226,tuatapere,nz,1619894392,-46.1333,167.6833,48.0,86,0,1.01
227,tuatapere,nz,1619894392,-46.1333,167.6833,48.0,86,0,1.01
228,beloha,mg,1619894392,-25.1667,45.05,70.45,77,100,2.3
229,bowen,au,1619894393,-20.0167,148.2333,68.0,88,6,9.22
230,naliya,in,1619894393,23.2667,68.8333,82.9,67,65,8.28
231,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
232,ahipara,nz,1619894394,-35.1667,173.1667,54.27,78,0,7.45
233,vaini,to,1619894335,-21.2,-175.2,75.2,83,40,13.8
234,hermanus,za,1619894331,-34.4187,19.2345,59.0,76,98,1.99
235,carnarvon,au,1619894353,-24.8667,113.6333,68.0,73,100,9.22
236,punta arenas,cl,1619894338,-53.15,-70.9167,46.2,66,20,8.05
237,kapaa,us,1619894340,22.0752,-159.319,76.8,78,20,11.5
238,tiksi,ru,1619894396,71.6872,128.8694,19.24,99,100,2.06
239,caravelas,br,1619894396,-17.7125,-39.2481,77.76,61,77,10.33
240,tuktoyaktuk,ca,1619894360,69.4541,-133.0374,14.0,92,90,8.05
241,faanui,pf,1619894396,-16.4833,-151.75,80.62,68,11,3.44
242,castro,cl,1619894370,-42.4721,-73.7732,55.06,82,75,12.66
243,hermanus,za,1619894331,-34.4187,19.2345,59.0,76,98,1.99
244,dikson,ru,1619894389,73.5069,80.5464,23.45,92,100,5.21
245,nha trang,vn,1619894397,12.25,109.1833,78.8,83,20,4.61
246,tuatapere,nz,1619894392,-46.1333,167.6833,48.0,86,0,1.01
247,banyo,cm,1619894398,6.75,11.8167,67.28,92,100,5.59
248,butaritari,ki,1619894347,3.0707,172.7902,82.63,76,99,11.81
249,pevek,ru,1619894337,69.7008,170.3133,9.0,94,100,8.48
250,xai-xai,mz,1619894399,-25.0519,33.6442,70.52,67,75,16.35
251,port alfred,za,1619894349,-33.5906,26.891,61.95,68,0,3.38
252,albany,au,1619894329,-35.0169,117.8917,50.0,100,58,2.3
253,verkhoyansk,ru,1619894400,67.5447,133.385,29.17,80,100,0.51
254,san patricio,mx,1619894400,19.2167,-104.7,80.6,69,40,13.8
255,koson,uz,1619894400,39.0375,65.585,68.0,60,0,3.74
256,vila velha,br,1619894401,-20.3297,-40.2925,77.32,65,40,11.5
257,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
258,jamestown,sh,1619894353,-15.9387,-5.7168,70.11,76,22,17.81
259,husavik,is,1619894367,66.0449,-17.3389,35.6,69,75,14.97
260,ushuaia,ar,1619894179,-54.8,-68.3,44.6,65,20,4.61
261,sept-iles,ca,1619894402,50.2001,-66.3821,45.28,61,100,18.41
262,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
263,mar del plata,ar,1619894385,-38.0023,-57.5575,71.82,49,0,14.97
264,olafsvik,is,1619894332,64.8945,-23.7142,37.54,64,36,20.87
265,hermanus,za,1619894331,-34.4187,19.2345,59.0,76,98,1.99
266,korla,cn,1619894403,41.7597,86.1469,67.59,20,46,17.52
267,zhucheng,cn,1619894176,35.9947,119.3975,45.54,60,0,5.08
268,bengkulu,id,1619894332,-3.8004,102.2655,75.51,89,85,4.52
269,punta arenas,cl,1619894338,-53.15,-70.9167,46.2,66,20,8.05
270,hami,cn,1619894348,42.8,93.45,63.82,34,100,30.69
271,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
272,vao,nc,1619894405,-22.6667,167.4833,74.3,74,100,27.2
273,zaraza,ve,1619894405,9.3503,-65.3245,91.38,40,100,5.21
274,busselton,au,1619894362,-33.65,115.3333,55.99,96,14,3.15
275,lusambo,cd,1619894405,-4.9667,23.45,71.44,96,100,2.53
276,yellowknife,ca,1619894134,62.456,-114.3525,26.1,63,20,10.36
277,vestmannaeyjar,is,1619894406,63.4427,-20.2734,40.42,61,100,13.98
278,busselton,au,1619894362,-33.65,115.3333,55.99,96,14,3.15
279,rikitea,pf,1619894334,-23.1203,-134.9692,76.21,80,98,12.91
280,castro,cl,1619894370,-42.4721,-73.7732,55.06,82,75,12.66
281,vaini,to,1619894335,-21.2,-175.2,75.2,83,40,13.8
282,ushuaia,ar,1619894179,-54.8,-68.3,44.6,65,20,4.61
283,broome,au,1619894117,-17.9667,122.2333,73.4,94,97,3.44
284,hobart,au,1619894337,-42.8794,147.3294,52.68,76,100,10.36
285,torbay,ca,1619894128,47.6666,-52.7314,55.65,67,75,29.93
286,khatanga,ru,1619894407,71.9667,102.5,18.16,99,83,2.28
287,cuenca,ec,1619894326,-2.8833,-78.9833,68.0,60,75,4.61
288,bam,ir,1619894408,29.106,58.357,69.06,55,100,1.01
289,pokosnoye,ru,1619894408,55.5258,101.0536,33.17,91,100,3.09
290,mar del plata,ar,1619894385,-38.0023,-57.5575,71.82,49,0,14.97
291,provideniya,ru,1619894342,64.3833,-173.3,23.4,60,25,5.48
292,qaanaaq,gl,1619894340,77.484,-69.3632,34.93,71,76,3.47
293,ushuaia,ar,1619894179,-54.8,-68.3,44.6,65,20,4.61
294,bluff,nz,1619894331,-46.6,168.3333,48.0,86,15,1.01
295,ushuaia,ar,1619894179,-54.8,-68.3,44.6,65,20,4.61
296,vilyuysk,ru,1619894410,63.7553,121.6247,33.76,98,100,5.95
297,ponta do sol,cv,1619894351,17.1994,-25.0919,77.0,61,20,24.16
298,mitsamiouli,km,1619894363,-11.3847,43.2844,81.64,76,9,4.81
299,bluff,nz,1619894331,-46.6,168.3333,48.0,86,15,1.01
300,clyde river,ca,1619894410,70.4692,-68.5914,19.4,100,75,2.42
301,esperance,au,1619894411,-33.8667,121.9,51.8,82,0,11.5
